# {"t_start": 1591861162.7128847, "env_id": "Humanoid-v2"} 
r,l,t
85.853529,18,49.298356
158.432418,32,49.393601
81.314173,17,49.442304
76.469409,16,49.491978
179.635947,35,49.595862
116.386283,24,49.667912
198.359454,39,49.786419
88.08431,18,49.840483
98.904023,20,49.895148
117.931648,26,49.971442
169.63646,33,50.059598
94.72849,20,50.116446
81.314122,17,50.159709
139.506404,28,50.244699
228.768895,46,50.381126
111.46281,24,50.45259
81.894925,17,50.505484
86.072483,18,50.552218
186.123171,40,50.663664
131.641768,29,50.745339
182.445431,38,50.854553
81.411634,17,50.905337
86.616293,18,50.956686
292.081541,60,51.133413
116.551485,23,51.197725
105.550649,21,51.259211
103.827354,21,51.319753
112.003129,22,51.37974
155.427193,31,51.46895
147.286939,29,51.543355
89.881156,19,51.603167
125.322017,27,51.680545
88.415288,18,51.735143
169.327514,36,51.835724
196.577598,40,51.950045
166.600835,34,52.051255
135.308477,28,52.127964
156.424394,32,52.220459
100.429544,21,52.289279
113.365208,23,52.351415
129.688784,26,52.428622
86.158589,18,52.481048
161.085973,33,52.578226
87.020689,18,52.626449
272.386768,55,52.778366
186.543148,36,52.885652
154.566058,30,52.974455
119.664666,24,53.041033
127.122738,26,53.116497
105.885112,23,53.185457
127.897684,25,53.256895
200.44725,41,53.375205
158.507562,32,53.47137
160.70645,32,53.562847
100.37658,20,53.625017
103.541399,22,53.689322
157.971609,33,53.78913
107.519896,21,53.85256
142.738635,28,53.931588
107.628518,23,53.997607
97.124353,20,54.054784
181.392831,35,54.155682
86.286184,18,54.202495
114.940039,25,54.27778
81.19624,17,56.083484
184.024579,40,56.208284
260.381605,49,56.35876
92.73345,19,56.421672
114.865254,23,56.48946
133.605488,29,56.576935
81.55773,17,56.627788
137.760642,29,56.711364
112.053276,24,56.78397
219.811761,45,56.91085
172.243503,35,57.008914
129.115851,25,57.084771
119.473626,25,57.158122
135.187523,27,57.245975
142.945356,29,57.339037
218.337602,42,57.46051
81.415048,17,57.51213
118.524348,24,57.586612
219.919348,43,57.713448
