approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.037389543,0.6478027,234.28,1291.1551712100002,0.9429157935082912,1084,470,16.724653,-0.030826008,962560,3580.055891752243,3850240,0.020614138
0.03670119,0.64416504,234.46,1300.24948709,0.9582067504525185,1077,471,16.708105,-0.032822892,964608,3587.6586220264435,3858432,0.014469771
0.03588753,0.6509644,232.88,1289.6672065900002,0.9513948112726212,1062,472,16.690601,-0.031934444,966656,3595.3665719032288,3866624,0.016803611
0.039785333,0.654541,232.81,1287.9325442099998,0.9436280988156796,1083,473,16.658037,-0.03234182,968704,3602.92804479599,3874816,0.019235713
0.039003205,0.6569702,240.27,1331.62844933,0.9573649056255817,1071,474,16.64865,-0.032214053,970752,3610.575632095337,3883008,0.014379842
0.03764189,0.6497925,241.79,1338.9018277300002,0.952149510383606,1134,475,16.631817,-0.032351635,972800,3617.8001868724823,3891200,0.017711377
0.039711826,0.6599609,242.0,1348.2592451299997,0.945782657712698,1098,476,16.61605,-0.033472158,974848,3625.25736951828,3899392,0.01810217
0.03861954,0.65041506,239.54,1336.6680387600002,0.9458191134035587,1099,477,16.62162,-0.0326071,976896,3632.7091088294983,3907584,0.017465476
0.03949436,0.6552124,249.85,1404.7269316099998,0.9495489373803139,1050,478,16.619738,-0.031552166,978944,3640.509534597397,3915776,0.017442057
0.042342205,0.6641968,256.06,1444.5263206099999,0.9584881961345673,1045,479,16.605923,-0.034567695,980992,3648.3458783626556,3923968,0.013085139
0.039576333,0.66101074,251.77,1420.1707527700003,0.943136390298605,1059,480,16.593552,-0.032738738,983040,3656.0767993927,3932160,0.018920066
0.03757611,0.6491333,246.74,1384.1041129100004,0.9381833150982857,1077,481,16.594004,-0.03151907,985088,3663.678309440613,3940352,0.021014832
0.037897833,0.6506103,244.08,1364.5144549999998,0.950497318059206,1096,482,16.5873,-0.03266519,987136,3671.152448654175,3948544,0.017846752
0.04110799,0.6564209,246.35,1374.80784675,0.9420807026326656,1091,483,16.577301,-0.032215707,989184,3678.6621463298798,3956736,0.020508321
0.03894561,0.6531494,248.21,1392.72512573,0.9324435293674469,1083,484,16.559978,-0.03310261,991232,3686.2237153053284,3964928,0.020532234
0.042129945,0.65896,250.04,1404.2961971399998,0.9466276280581951,1028,485,16.54395,-0.032563273,993280,3694.1873428821564,3973120,0.019708917
0.038601015,0.6487793,242.72,1364.0461751200003,0.947628989815712,1025,486,16.5113,-0.03258726,995328,3702.1792118549347,3981312,0.01788463
0.03913078,0.6486206,237.52,1331.8988610400002,0.9342187866568565,1071,487,16.49159,-0.031320535,997376,3709.823276758194,3989504,0.022308448
