# {"t_start": 1591841163.6566856, "env_id": "Humanoid-v2"} 
r,l,t
172.132986,35,172.99018
145.593244,30,173.190047
146.787981,29,173.391342
201.717333,39,173.65818
81.152944,17,173.777802
147.077002,29,173.967034
240.21854,54,174.369651
154.906993,32,174.671903
184.62508,36,174.942619
165.51855,33,175.185896
109.714851,25,175.383103
133.798363,29,175.589304
127.956071,26,175.800848
191.795074,38,176.118563
120.432449,24,176.27866
86.032707,18,176.404925
149.141461,32,176.616852
76.739379,16,176.717187
142.529716,31,176.938541
170.59408,34,177.160738
142.139554,29,177.377298
195.896392,40,177.745185
86.632935,18,177.882711
126.170067,26,178.139141
103.191691,21,178.278405
215.924552,42,178.529325
186.703044,37,178.785441
110.414595,25,181.994828
139.074962,27,182.208461
205.344784,42,182.494733
109.683946,22,182.68657
177.168992,35,182.965926
156.156912,31,183.189106
186.138078,37,183.420274
206.45651,41,183.720961
135.159295,27,183.943922
209.187638,44,184.298802
214.675776,44,184.621014
122.009433,24,184.804404
154.839945,33,185.073142
117.985238,24,185.26762
95.484539,20,185.416016
160.711174,31,185.637385
82.120858,17,185.754512
94.164978,19,185.948607
202.282331,42,186.422153
182.331846,35,186.727883
85.95926,18,186.893881
134.357793,27,187.098285
247.878795,51,187.450348
112.674062,23,187.631892
199.649272,39,187.935631
197.449356,39,188.218573
239.198675,45,188.547484
179.398466,36,188.81127
210.237166,42,189.093156
116.962239,23,189.251146
86.47511,18,189.401588
227.436254,43,189.778447
130.407901,26,190.006316
172.740865,35,190.31854
159.418809,31,190.573124
104.221678,21,190.745297
408.898657,84,191.377742
110.300769,22,191.560169
103.654098,21,191.720943
199.585669,40,192.02164
124.760517,25,192.354418
230.967213,46,192.742169
151.836665,30,193.157887
97.071372,20,193.337795
165.687534,33,193.620791
234.445423,50,194.078858
123.852035,26,194.259695
119.224548,24,194.434829
136.055786,29,194.626668
430.288744,84,195.457953
102.332922,22,195.707684
85.752238,18,195.869583
266.992071,56,196.536098
200.657838,41,196.916068
204.95089,41,197.294255
163.852899,33,197.591886
137.878912,27,197.864673
232.034757,44,198.271993
196.193272,38,198.641201
208.446658,41,199.017283
225.550622,47,202.704434
152.839806,30,203.003909
155.312188,31,203.280944
140.985802,28,203.558673
164.882578,35,203.908005
156.232784,31,204.17973
219.791504,44,204.613495
168.10524,33,204.863407
133.357535,28,205.058834
156.603573,33,205.298072
181.012777,35,205.561826
183.899369,37,205.820027
116.980454,25,206.032239
81.100132,17,206.198151
118.154963,24,206.381265
171.077592,33,206.621008
153.282683,34,206.865884
113.772159,23,207.032784
151.234638,31,207.231149
151.849017,31,207.421732
152.632616,30,207.616855
200.505242,39,207.857414
130.145036,26,208.008989
120.78532,26,208.183551
159.381433,31,208.373507
169.922677,33,208.580187
173.145983,34,208.802247
155.956611,31,209.001801
107.367635,22,209.20133
173.91074,34,209.502344
333.759023,68,210.051685
131.494563,27,210.265255
155.671427,33,210.605671
208.329399,40,210.929293
260.671559,49,211.307894
140.461005,32,211.541043
221.205348,44,211.879834
264.63669,54,212.432864
166.23013,32,212.708279
178.012756,35,213.149889
123.041086,25,213.430736
183.843394,38,213.69465
98.885171,20,213.835668
139.182864,27,214.017366
158.456503,35,214.252735
190.017833,40,214.502306
132.49499,28,214.667372
176.538156,35,214.963368
127.768329,25,215.168213
137.392016,28,215.356766
202.842818,42,215.675187
270.620966,50,216.104086
110.824745,22,216.235183
229.237033,48,216.530152
238.745272,46,216.785323
149.268258,29,216.966318
143.785277,28,217.131167
152.827152,31,217.357043
196.075043,40,217.620337
157.478729,32,217.828158
316.045956,60,221.441762
166.827339,35,221.670473
179.151049,34,221.879346
137.400504,30,222.14034
237.002484,46,222.536871
207.575253,41,222.889051
187.196574,37,223.289341
165.49527,34,223.502965
254.894408,53,223.966143
313.200095,61,224.435302
220.497181,42,224.879782
174.405703,35,225.21719
283.184526,58,225.779632
126.453933,25,226.131523
212.002199,42,226.512604
159.442759,33,226.731587
216.200669,44,227.025552
162.83704,33,227.286531
115.820765,23,227.442025
148.508833,29,227.703165
198.634419,40,228.051128
180.708007,37,228.339736
99.521859,20,228.572926
240.411523,47,228.947321
220.162035,44,229.269448
252.425824,48,229.691056
148.328605,30,230.073964
205.50804,39,230.36352
197.361697,38,230.703691
228.515351,45,231.137332
196.59193,37,231.459919
227.573331,46,231.829213
236.513648,46,232.147731
180.76816,36,232.40551
295.804913,60,232.826043
201.499643,45,233.167874
199.003508,39,233.413888
151.49198,30,233.603876
138.423722,27,233.785935
208.770276,48,234.164314
243.748502,47,234.480212
138.813676,29,234.674129
203.229843,43,234.991275
93.937166,19,235.138545
168.936812,33,235.382737
197.150267,44,235.775299
